agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,30,0,,,3,2,3,1,2,True,False
2,0,0,0,30,0,,,3,1,3,3,3,True,False
3,0,0,0,20,0,,,2,3,3,1,3,False,False
4,0,0,0,30,0,,,3,1,1,3,3,False,False
5,0,0,0,30,0,,,3,1,3,3,3,True,False
6,0,0,0,20,0,,,2,1,2,2,1,True,False
7,0,0,0,20,0,,,2,3,3,3,2,False,False
8,0,0,0,10,0,,,1,1,2,3,2,True,False
9,0,0,0,10,0,,,1,3,1,2,3,False,False
10,0,0,0,20,0,,,2,2,1,2,3,True,False
